Dataset,Mixture Label,CID_1,CID_2,CID_3,CID_4,CID_5,CID_6,CID_7,CID_8,CID_9,CID_10,CID_11,CID_12,CID_13,CID_14,CID_15,CID_16,CID_17,CID_18,CID_19,CID_20,CID_21,CID_22,CID_23,CID_24,CID_25,CID_26,CID_27,CID_28,CID_29,CID_30,CID_31,CID_32,CID_33,CID_34,CID_35,CID_36,CID_37,CID_38,CID_39,CID_40,CID_41,CID_42,CID_43,CID_44
Snitz 1,11,7991,61138.0,6654.0,8118.0,6736.0,8030.0,6989.0,10722.0,1140.0,5634.0,7921.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,12,7731,7749.0,7888.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,13,22201,7749.0,460.0,61016.0,7119.0,61138.0,999.0,10821.0,6054.0,6544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,14,323,7762.0,7363.0,7888.0,16666.0,8635.0,7059.0,7991.0,6736.0,8030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,15,7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,16,10890,7519.0,323.0,7583.0,7762.0,26331.0,8892.0,7888.0,443158.0,16666.0,8635.0,91497.0,8918.0,957.0,18827.0,8118.0,8030.0,6989.0,5634.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,17,14286,31276.0,7600.0,7519.0,11002.0,6982.0,307.0,323.0,5283349.0,7762.0,26331.0,3314.0,7363.0,8892.0,8103.0,7888.0,443158.0,16666.0,8635.0,7059.0,91497.0,957.0,18827.0,7770.0,6736.0,8030.0,6989.0,10722.0,5634.0,10430.0,,,,,,,,,,,,,,
Snitz 1,18,14286,7710.0,31276.0,10890.0,7600.0,7519.0,11002.0,6982.0,307.0,323.0,2879.0,7731.0,5283349.0,7583.0,7762.0,26331.0,3314.0,7363.0,8892.0,8103.0,7888.0,443158.0,16666.0,8635.0,7059.0,62444.0,91497.0,8918.0,957.0,18827.0,7991.0,7770.0,8118.0,6736.0,8030.0,6989.0,10722.0,5634.0,10430.0,7921.0,,,,
Snitz 1,19,7731,8892.0,7888.0,7059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,20,62336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,21,6501,264.0,6259976.0,8797.0,7685.0,7632.0,22201.0,2758.0,460.0,8129.0,5281168.0,62336.0,798.0,61016.0,20859.0,61138.0,10821.0,6054.0,1140.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,22,6501,62433.0,264.0,5281515.0,7685.0,326.0,7966.0,8148.0,24915.0,7632.0,22201.0,31252.0,19310.0,2758.0,8130.0,8129.0,6184.0,12178.0,798.0,61016.0,7119.0,20859.0,999.0,10821.0,6054.0,6544.0,6654.0,1140.0,7714.0,1183.0,,,,,,,,,,,,,,
Snitz 1,23,7410,6501.0,62433.0,240.0,93009.0,264.0,5281515.0,6259976.0,8797.0,7685.0,326.0,7966.0,8148.0,24915.0,7632.0,22201.0,31252.0,19310.0,7749.0,2758.0,460.0,8130.0,8129.0,6184.0,12178.0,5281168.0,62336.0,798.0,61016.0,7119.0,20859.0,61138.0,999.0,10821.0,6054.0,6544.0,6654.0,1140.0,7714.0,1183.0,,,,
Snitz 1,24,7749,61138.0,6054.0,6544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,25,7600,62433.0,307.0,5283349.0,443158.0,8635.0,8918.0,999.0,6736.0,10722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,26,7410,10890.0,7519.0,7685.0,24915.0,26331.0,8129.0,16666.0,7770.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,27,7714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,28,7410,10890.0,93009.0,6259976.0,2879.0,8797.0,7685.0,24915.0,8103.0,5281168.0,7888.0,16666.0,18827.0,7991.0,6054.0,6654.0,7770.0,8030.0,5634.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,29,7410,10890.0,93009.0,11002.0,8797.0,7685.0,7731.0,7966.0,24915.0,7583.0,26331.0,5281168.0,7888.0,798.0,61016.0,16666.0,7119.0,20859.0,18827.0,7991.0,6054.0,6654.0,7770.0,8118.0,8030.0,1140.0,7714.0,5634.0,10430.0,1183.0,,,,,,,,,,,,,,
Snitz 1,30,7410,10890.0,7519.0,93009.0,11002.0,6259976.0,323.0,2879.0,8797.0,7685.0,7731.0,326.0,7966.0,24915.0,31252.0,7583.0,26331.0,460.0,8129.0,8103.0,5281168.0,7888.0,798.0,61016.0,16666.0,7119.0,20859.0,18827.0,7991.0,10821.0,6054.0,6654.0,7770.0,8118.0,8030.0,1140.0,7714.0,5634.0,10430.0,1183.0,,,,
Snitz 1,31,5281168,10890.0,2879.0,7966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,32,31276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,33,14286,7710.0,31276.0,7600.0,5281515.0,6982.0,5283349.0,7632.0,7762.0,3314.0,6184.0,443158.0,91497.0,8918.0,957.0,61138.0,999.0,6544.0,6989.0,7921.0,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,34,14286,7710.0,31276.0,7600.0,62433.0,240.0,264.0,5281515.0,6982.0,307.0,5283349.0,7632.0,22201.0,19310.0,7749.0,2758.0,3314.0,6184.0,8892.0,443158.0,7059.0,91497.0,8918.0,957.0,61138.0,6544.0,6736.0,6989.0,10722.0,7921.0,,,,,,,,,,,,,,
Snitz 1,35,14286,6501.0,7710.0,31276.0,7600.0,62433.0,240.0,264.0,5281515.0,6982.0,307.0,5283349.0,8148.0,7632.0,22201.0,19310.0,7762.0,7749.0,2758.0,3314.0,7363.0,8130.0,6184.0,8892.0,12178.0,62336.0,443158.0,8635.0,7059.0,62444.0,91497.0,8918.0,957.0,61138.0,999.0,6544.0,6736.0,6989.0,10722.0,7921.0,,,,
Snitz 1,36,62433,7363.0,443158.0,61138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,37,14286,7600.0,3314.0,16666.0,91497.0,18827.0,7991.0,7770.0,6989.0,5634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,38,61199,10890.0,93009.0,264.0,6259976.0,24915.0,7762.0,460.0,8129.0,5281168.0,443158.0,8918.0,957.0,999.0,17100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,39,61199,6501.0,264.0,2879.0,7731.0,326.0,24915.0,7762.0,460.0,8129.0,8892.0,12178.0,5281168.0,443158.0,4133.0,999.0,10821.0,17100.0,11552.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,40,61199,6501.0,31276.0,10890.0,7519.0,240.0,93009.0,11002.0,6259976.0,2879.0,7685.0,7731.0,326.0,5283349.0,7583.0,460.0,8129.0,8892.0,12178.0,443158.0,4133.0,8918.0,957.0,61138.0,999.0,10821.0,6544.0,17100.0,11552.0,1183.0,,,,,,,,,,,,,,
Snitz 1,41,61199,6501.0,31276.0,10890.0,7519.0,240.0,93009.0,264.0,11002.0,6259976.0,2879.0,8797.0,7685.0,7731.0,326.0,7966.0,5283349.0,9609.0,24915.0,7583.0,7762.0,26331.0,460.0,8129.0,8892.0,12178.0,5281168.0,443158.0,20859.0,4133.0,62444.0,8918.0,957.0,61138.0,999.0,10821.0,6544.0,6736.0,17100.0,31277.0,10722.0,11552.0,1183.0,
Snitz 1,42,7410,7710.0,7600.0,62433.0,307.0,7749.0,3314.0,61016.0,16666.0,91497.0,6054.0,6654.0,8030.0,5634.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,43,7410,14286.0,7710.0,7600.0,62433.0,5281515.0,6982.0,22201.0,7749.0,3314.0,8130.0,8103.0,7888.0,16666.0,91497.0,6654.0,7770.0,5634.0,10430.0,7921.0,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,44,6501,8797.0,326.0,26331.0,8129.0,12178.0,999.0,6544.0,6736.0,11552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,45,7685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,46,6501,460.0,999.0,6544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,47,7410,7710.0,7600.0,62433.0,5281515.0,6982.0,307.0,7632.0,22201.0,31252.0,19310.0,7749.0,3314.0,6184.0,7888.0,61016.0,16666.0,7119.0,91497.0,18827.0,7991.0,6054.0,6654.0,7770.0,8118.0,8030.0,6989.0,7714.0,5634.0,10430.0,,,,,,,,,,,,,,
Snitz 1,48,7410,14286.0,7710.0,7600.0,62433.0,5281515.0,6982.0,307.0,323.0,8148.0,7632.0,22201.0,31252.0,19310.0,7749.0,2758.0,3314.0,7363.0,8130.0,6184.0,8103.0,62336.0,7888.0,798.0,61016.0,16666.0,7119.0,8635.0,7059.0,91497.0,18827.0,7991.0,6054.0,6654.0,7770.0,8118.0,8030.0,6989.0,1140.0,7714.0,5634.0,10430.0,7921.0,
Snitz 1,49,7600,62433.0,7991.0,6989.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,1,326,26331.0,6544.0,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,2,7710,62433.0,7519.0,7685.0,3314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,3,31276,62433.0,7519.0,8129.0,12178.0,18827.0,10722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,4,62433,8797.0,2758.0,3314.0,8635.0,61138.0,6054.0,6544.0,10722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,5,7410,240.0,93009.0,8635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,6,7519,8148.0,31252.0,8103.0,5281168.0,6544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,7,240,307.0,7731.0,2758.0,12178.0,62336.0,8635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,8,31276,8148.0,7762.0,18827.0,7714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,9,7710,93009.0,8130.0,8103.0,5281168.0,7059.0,8918.0,7714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,10,11002,307.0,7685.0,12178.0,4133.0,7991.0,6054.0,7770.0,7714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,11,240,2758.0,8130.0,8129.0,5281168.0,7059.0,4133.0,8918.0,957.0,6654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,12,7410,326.0,2758.0,62444.0,7770.0,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,13,7410,7519.0,11002.0,8797.0,8129.0,5281168.0,6654.0,8030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 2,14,8797,7731.0,7966.0,3314.0,62336.0,7059.0,7991.0,61138.0,6054.0,6544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,1,326,26331.0,1140.0,11002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,2,7410,240.0,93009.0,8635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,3,6544,62433.0,7519.0,7685.0,3314.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,4,31276,8148.0,7762.0,18827.0,7714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,5,7519,8148.0,31252.0,8103.0,7710.0,11002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,6,7410,326.0,2758.0,62444.0,7770.0,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,7,240,637511.0,7731.0,2758.0,12178.0,62336.0,8635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,8,31276,62433.0,8129.0,12178.0,7519.0,18827.0,10722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,9,6544,93009.0,8130.0,8103.0,7710.0,7059.0,8918.0,7714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,10,7410,5281168.0,8797.0,7519.0,8129.0,7710.0,6654.0,8030.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,11,62433,8797.0,2758.0,3314.0,8635.0,61138.0,11002.0,6054.0,10722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,12,5281168,637511.0,7685.0,12178.0,4133.0,7991.0,6054.0,7770.0,7714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,13,8797,7731.0,7966.0,3314.0,62336.0,7059.0,7991.0,61138.0,6054.0,11002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 1,14,240,2758.0,8130.0,8129.0,7710.0,7059.0,4133.0,8918.0,957.0,6654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,1,556940,7601.0,11086.0,61670.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,2,62351,565690.0,10925.0,7593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,3,5363233,89440.0,126.0,11980.0,61293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,4,7194,520296.0,61670.0,637776.0,23642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,5,126,520296.0,7122.0,6050.0,5273467.0,5364231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,6,2214,556940.0,8180.0,8077.0,325.0,11086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,7,7601,778574.0,61331.0,8180.0,17121.0,24834.0,7593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,8,7194,89440.0,6560.0,17121.0,126.0,637776.0,9012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,9,5363233,10925.0,5365049.0,6050.0,5273467.0,31219.0,7765.0,23642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,10,62351,1550470.0,7657.0,6997.0,6560.0,5273467.0,18554.0,2214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,11,89440,7657.0,7122.0,61293.0,7593.0,5367698.0,5364231.0,14104.0,9012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,12,1550470,778574.0,11980.0,61771.0,6998.0,444972.0,14104.0,325.0,23642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,13,7657,61331.0,61771.0,61293.0,24834.0,31219.0,444972.0,5367698.0,14104.0,5364231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 2,14,565690,8180.0,5365049.0,6560.0,8077.0,31219.0,6998.0,7765.0,6997.0,18554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravia 4,1,7799,176.0,7363.0,14286.0,8025.0,6561.0,11552.0,12020.0,22386.0,9609.0,84682.0,8063.0,8857.0,7895.0,7284.0,11173.0,8103.0,637566.0,638011.0,10890.0,24915.0,3314.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,2,7799,6590.0,61138.0,11552.0,62336.0,9609.0,6276.0,7895.0,7284.0,261.0,5284503.0,637566.0,31266.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,3,7799,7150.0,14286.0,264.0,11552.0,62336.0,263.0,9609.0,7895.0,261.0,8103.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,4,7799,1068.0,3776.0,61138.0,7793.0,264.0,527.0,263.0,84682.0,10448.0,7284.0,11173.0,5318042.0,637566.0,638011.0,10890.0,24915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,5,1068,6590.0,1031.0,176.0,180.0,3776.0,7363.0,7150.0,14286.0,8025.0,6561.0,443158.0,22386.0,1032.0,6569.0,84682.0,8063.0,6276.0,8857.0,7895.0,261.0,5284503.0,5318042.0,8103.0,10890.0,24915.0,31266.0,10430.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,6,7799,6590.0,31244.0,176.0,7150.0,8025.0,7793.0,443158.0,11552.0,1032.0,8063.0,7284.0,5284503.0,5318042.0,638011.0,24915.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,7,31244,176.0,180.0,3776.0,7363.0,7150.0,14286.0,19310.0,443158.0,11552.0,22386.0,62336.0,263.0,9609.0,8063.0,7895.0,5284503.0,5318042.0,638011.0,637776.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,8,6590,31244.0,180.0,3776.0,7363.0,14286.0,61138.0,6561.0,443158.0,11552.0,12020.0,62336.0,263.0,84682.0,8063.0,6276.0,10448.0,7895.0,11173.0,261.0,5284503.0,5318042.0,638011.0,10890.0,8842.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,9,7799,7363.0,61138.0,8025.0,443158.0,264.0,12020.0,527.0,263.0,1032.0,84682.0,10448.0,7895.0,7284.0,11173.0,8103.0,637566.0,638011.0,24915.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,10,7799,1068.0,6590.0,31244.0,7150.0,61138.0,7793.0,443158.0,22386.0,5284503.0,637566.0,10890.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,11,7799,1068.0,6590.0,31244.0,176.0,180.0,7150.0,61138.0,8025.0,6561.0,443158.0,22386.0,62336.0,527.0,9609.0,1032.0,6569.0,84682.0,6276.0,10448.0,8857.0,7895.0,11173.0,5284503.0,5318042.0,8103.0,637566.0,638011.0,637776.0,10890.0,,,,,,,,,,,,,,
Ravia 4,12,1068,6590.0,31244.0,1031.0,176.0,180.0,3776.0,7363.0,7150.0,7793.0,12020.0,6584.0,1032.0,6569.0,8857.0,637566.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,13,7799,1031.0,176.0,180.0,14286.0,8025.0,6561.0,7793.0,264.0,11552.0,12020.0,22386.0,263.0,6584.0,84682.0,8063.0,5284503.0,5318042.0,8103.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,14,7799,6590.0,31244.0,1031.0,180.0,3776.0,7363.0,7150.0,14286.0,61138.0,19310.0,443158.0,264.0,12020.0,22386.0,62336.0,527.0,263.0,6584.0,1032.0,84682.0,6276.0,7895.0,7284.0,5284503.0,638011.0,637776.0,24915.0,31266.0,0.0,,,,,,,,,,,,,,
Ravia 4,15,1031,7363.0,14286.0,19310.0,12020.0,263.0,1032.0,6569.0,8063.0,6276.0,7895.0,7284.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,16,31244,7150.0,8025.0,11552.0,22386.0,6584.0,6569.0,6276.0,10448.0,7895.0,7284.0,261.0,5284503.0,638011.0,637776.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,17,7799,1068.0,6590.0,1031.0,7150.0,61138.0,8025.0,19310.0,6561.0,7793.0,11552.0,12020.0,263.0,6276.0,10448.0,7895.0,261.0,5284503.0,5318042.0,638011.0,637776.0,8842.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,18,6590,31244.0,176.0,180.0,7363.0,7150.0,61138.0,8025.0,19310.0,6561.0,443158.0,11552.0,12020.0,62336.0,263.0,9609.0,1032.0,6276.0,10448.0,7895.0,7284.0,8103.0,638011.0,637776.0,24915.0,3314.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,19,7799,6590.0,31244.0,1031.0,180.0,3776.0,7363.0,61138.0,8025.0,19310.0,6561.0,443158.0,264.0,22386.0,62336.0,527.0,263.0,6584.0,6569.0,10448.0,8857.0,7284.0,11173.0,261.0,5318042.0,8103.0,638011.0,637776.0,31266.0,3314.0,,,,,,,,,,,,,,
Ravia 4,20,7799,1068.0,6590.0,31244.0,176.0,180.0,3776.0,7150.0,14286.0,61138.0,19310.0,6561.0,443158.0,11552.0,527.0,9609.0,1032.0,6569.0,10448.0,8857.0,7895.0,7284.0,11173.0,261.0,637566.0,637776.0,10890.0,31266.0,3314.0,8842.0,,,,,,,,,,,,,,
Ravia 4,21,1068,1031.0,176.0,180.0,7363.0,61138.0,19310.0,443158.0,22386.0,62336.0,9609.0,6584.0,1032.0,6569.0,84682.0,8063.0,6276.0,5284503.0,8103.0,637566.0,638011.0,31266.0,3314.0,10430.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,22,31244,176.0,3776.0,6561.0,264.0,9609.0,6584.0,84682.0,6276.0,11173.0,261.0,8103.0,637566.0,637776.0,24915.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,23,6590,31244.0,3776.0,7150.0,61138.0,19310.0,7793.0,22386.0,62336.0,527.0,9609.0,6584.0,1032.0,8857.0,7895.0,5284503.0,8103.0,637566.0,8842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,24,6590,180.0,6561.0,22386.0,527.0,263.0,6569.0,10448.0,8857.0,637776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,25,7799,176.0,7363.0,19310.0,6561.0,264.0,12020.0,62336.0,84682.0,8857.0,7895.0,7284.0,5318042.0,638011.0,24915.0,31266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,26,6590,31244.0,7363.0,61138.0,19310.0,6561.0,264.0,1032.0,6569.0,84682.0,10448.0,261.0,5284503.0,5318042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
Ravia 4,27,6590,31244.0,176.0,180.0,61138.0,8025.0,19310.0,7793.0,443158.0,12020.0,527.0,263.0,1032.0,6569.0,84682.0,8063.0,7895.0,11173.0,261.0,5284503.0,5318042.0,637566.0,638011.0,637776.0,10890.0,31266.0,3314.0,8842.0,10430.0,0.0,,,,,,,,,,,,,,
